position,player,report
2B,Chase Meidroth,"Chase Meidroth High hit tool, displays excellent contact skills; needs development in power, lacks ideal HR potential. Above-average speed with strong instincts on basepaths; potential threat in stealing bases. OBP aided by good batting eye, shows advanced plate discipline. Defense is solid, displays good hands and range at 2B. MLB comp: similar profile to David Fletcher, LA Angels."
OF,Chris Newell,"Chris Newell High contact skill (55/60) with above-average power (60/70). Speed is decent (50/70) with good base running instincts. Patient at the plate, excellent on-base skills (55/60). Defensively solid (50/60) with plus arm strength. Comparable player: Christian Yelich."
C,Christian Cerda,"Christian Cerda Hitter: High-contact skill set; projects for average hit, above-average on-base due to disciplined approach at the plate. Lacks exceptional power, though shows potential for gap-power. Average speed, not a key part of game. Solid defense behind the plate; has potential to further develop defensive skills. Comparable MLB Player: Yadier Molina."
P,Christian McGowan,"Christian McGowan Right-handed pitcher. Fastball high-90s, exceptional spin rates over 2600 rpm. Above-average IVB, often over 16 inches. Curveball is primary secondary, sitting mid-80s with high spin rates. Shows strong command of both pitches. Struggles slightly with consistency on changeup, leaving room for improvement. Comparable to RHP Walker Buehler."
P,Christian Scott,"Christian Scott Fastball 92-95, peak 96, good IVB; Slider spins at 2600RPM, has good bite; Changeup with deceptive movement, high swing-miss rate. Command needs work; walks too many batters. Could improve with coaching. Comparable to current major-league pitcher Chris Martin."
OF,Christopher Familia,"Christopher Familia Strong hit tool, consistent hard contact. Power potential average, needs development. Speed above average, beneficial in field and base paths. Excellent on-base skills, disciplined approach. Defense solid, shows good range. Comparable to AJ Pollock."
C,Cole Carrigg,"Cole Carrigg Solid contact ability, possesses power potential, speed slightly above average. Shows advanced on-base skills with impressive plate discipline. Average defender. Relatively comparable to San Diego’s Wil Myers but with better on-base attributes."
SS/3B,Colin Houck,"Colin Houck Houck offers above average hit (.289 AVG), coupled with good plate discipline (35 BB, 62 K). Power (13 HR) is surprising with more room to develop. Speed moderate (16 SB), defense solid (12 E in 56 games at SS). Comparable player: Xander Bogaerts with less speed.  Recent fastball velocity sits high 80s, topping 91 mph. IVB significant. Curveball (2500 rpm spin rate) and slider (2400 rpm) high spin secondaries. Command average (2.9 BB/9, 1.3 HP/9). Comparable pitcher: Kyle Hendricks with more movement."
SS,Colt Emerson,"Colt Emerson Hit: Above-average, consistent contact, strong bat control. Power: Moderate, gap power with potential for growth. Speed: Above-average, strong base-running instincts. On-Base: Excellent plate discipline, consistent high OBP. Defense: Reliable SS, good footwork, decent arm strength. Comparable major leaguer: Xander Bogaerts."
OF,Colton Ledbetter,"Colton Ledbetter Hit: Advanced contact skills, consistent line drive approach. Power: Average, potential for some growth. Speed: Plus speed, base stealing threat. On-Base: Shows plate discipline, walks consistently. Defense: Solid in center field, good reads on balls. Comparable MLB Player: Ramón Laureano."
P,Connelly Early,"Connelly Early Average fastball at 93 mph. Strong curveball with high 2500 RPM spin rate. Commands all pitches with above-average efficiency; able to locate pitches accurately. Struggles with changeup offering limited arsenal diversity. IBV slightly below average. Overall strikeout ability is limited. Comparably similar to current major league player Zach Eflin with efficient command and dependent on secondary pitches."
C,Cooper Ingle,"Cooper Ingle High contact hitter with an average of .352, showing a patient approach with a .457 OBP and 21 BB. Showed moderate power with 5 HR and a .531 SLG. Average runner with 7 stolen bases, good instincts on base paths. Solid defender behind the plate with .992 fielding percentage, good game management skills. Overall, Ingle compares to Jake Rogers of the Detroit Tigers in terms of his offense/defense balance and potential to contribute at the Major League level.  Pitcher: N/A."
SS,Cooper Pratt,"Cooper Pratt', ""Hit: Plus, consistently barrels up. Power: Below-average, lacks distance on contact. Speed: Plus-plus, elite base runner. On-base: Average, needs to improve plate discipline. Defense: Plus, smooth actions, good arm strength. Cooper Pratt shows similar skills to current Major League player Nick Madrigal. He makes consistent contact but lacks power similar to Madrigal. His speed is his best asset like Madrigal, but he doesn't walk as much. Both have good defensive skills."
C,Creed Willems,"Creed Willems Hit: Plus contact ability with room to grow. Consistent swing, hits to all fields. Power: Average. Should translate to 10-15 HR a year. Speed: Below average, not a part of his game. On-Base: Exceptional. Plate discipline is a standout trait; low strikeout, high walk rates. Defense: Solid. Good defensive instincts, soft hands. Comparable MLB player: Yasmani Grandal."
C/1B,Daniel Pena,"Daniel Pena Hit: Advanced contact skills; generates solid bat speed. Power: Above-average potential, raw power; consistent hard contact. Speed: Below-average, lacks quickness on bases. On-base: Outstanding plate discipline, frequent walker. Defense: Average behind plate, solid arm strength; smoother at 1B. MLB Comparison: Salvador Perez with greater focus on OBP over power."
SS/2B,Danny Serretti,"Danny Serretti Serretti showcases excellent hit tools, evidenced by high-average, low strikeout rate. Power is developing; plus-power potential. Average speed, smart on the bases. OBP benefits from disciplined approach at plate; draws walks, rarely chases. Defensive ability solid; fits best at second base, though can handle shortstop. Comparison: DJ LeMahieu."
P,David Davalillo,"David Davalillo Fastball sits 95-97 mph, good IVB. Curveball, 2700 rpm spin rate, functions as primary out pitch. Slider and changeup offer mix, both high spin around 2500 rpm. Command can be shaky; needs improvement for higher level success. Comparable outcome: Walker Buehler."
P,David Sandlin,"David Sandlin Fastball sits 93-95 mph, has peaked at 98 mph. Strong spin rate on breaking pitch, 2500-2600 rpm. Average control, can miss spots. Comparable to Chris Martin of Atlanta Braves. High IVB rate on fastball. Breaking pitch useful for generating ground balls."
SS,Derek Bernard,"Derek Bernard Hits: Above average contact, sprays line drives to all fields. Power: Minimal, gap-to-gap power, projects as 10-15 HR annually. Speed: Above average, steals bases with smart base-running. On-Base: Strong; works counts, draws walks. Defense: Average, limited range but solid arm strength, makes routine plays consistently. Comparable to Nick Madrigal: Solid all-around middle infielder with superior hit-tool, on-base skills, and speed. Minimal power, but enough to keep pitchers honest."
OF,Dillon Head,"Dillon Head Hit: Above average. Consistent hard contact, short-to-ball swing. Power: Below average. Lack of loft, more gap power. Speed: Above average. Runs well on the bases. On-base: Excellent. Great plate discipline, high walk rates. Defense: Solid. Reliable at OF, reads ball well off bat. Comparable: Kevin Kiermaier. Displays similar traits on the bases, at the plate, and on defense. Regarding RHP Victor Mederos. Comparable pro prospects are appreciated.  Velocity: Sits 93-95 mph, touches 97 mph. Fastball has high spin rate. Secondaries: Above average. Mixes in slider, curveball, changeup; shows flashes of above-average spin. Command: Inconsistent. Potential for above-average command with refinement. Comparable: Jose Berrios. Like Berrios, Mederos boasts a strong fastball and high spin rate secondaries. Needs to refine command to reach full potential."
C,Drake Baldwin,"Drake Baldwin Hit: Above average; Shows consistent line-drive contact. Power: Limited; not a big part of his game. Speed: Average-speed; can swipe a bag. On-Base: Strong; Rarely chases outside zone, high walk rate. Defense: Solid glove; above average arm strength. Comparable: Jeff McNeil. Low-power hit machine with disciplined approach at plate."
P,Drue Hackenberg,"Drue Hackenberg Fastball sits 91-93 mph, tops at 95, solid run. Curveball spins at 2600 rpm+, potential plus pitch. Changeup wavering - needs work. Average command, improving. Similar to Kyle Hendricks."
OF,Dylan Crews,"Dylan Crews Hit: Advanced approach, good bat speed, consistent hard contact. Power: Above average raw, shows ability to drive the ball. Speed: Average; not a major asset. On-base: Excellent plate discipline, high walk rate. Defense: Solid in corner OF position, strong arm. Comparable MLB player: J.D. Martinez."
C/1B,Edward Duran,"Edward Duran Above average hit (60), exhibits solid line drive approach, consistently barrels up the ball. Power (50) mostly gap-to-gap, not a consistent home run threat. Below average speed (40), not a base-stealing threat. On-base skills (55) more impressive, patient at the plate, works counts well. Defense (45), average behind the plate, better fit at first base due to limited mobility. Comparable to current MLB player, James McCann."
OF,Enrique Bradfield Jr.,"Enrique Bradfield Jr. High contact, hit grade 60. Power-low, grade 40. Speed-plus, grade 70. Excellent plate discipline, on-base grade 60. Strong defender with good reads, defense grade 60. Comparable to current major league player Starling Marte."
P,Franklin Gomez,"Franklin Gomez Hit: Average consistency; works count well. Power: Lacks home run capability, but dependable for doubles. Speed: Above average; intelligent base runner. On-base: Advanced eye, high walk rate. Defense: Reliable in field, versatile. Comparable to Nick Markakis.  Pitch: Fastball sits 92-94mph, tops 96, average IVB. Changeup: Effective secondary with above-average spin rate used as strikeout pitch. Shows reliable command across arsenal. Comparable to Marco Gonzales."
P,Gabriel Hughes,"Gabriel Hughes Hughes throws a tight-spinning slider (2500 rpm) and a consistent mid-90s fastball (95 mph, 2400 rpm), displaying good command over both. His curveball (75 mph, 2600 rpm) could use fine-tuning, but has potential. Comparable major leaguer: Charlie Morton."
SS,George Lombard Jr.,"George Lombard Jr. High hit skill, average power, speedy runner, strong plate discipline. Defense is serviceable with good range, lacks top-level arm strength. Most resembles Trea Turner with potential for a high average and on-base percentage, and speed on the basepaths. In short, with further development, we can expect strong contact, disciplined hitting, solid defense, and a useful base stealing threat. Good fit for a team in need of top of the order hitter who can get on base and cause havoc with their speed."
3B,Gino Groover,"Gino Groover High contact hitter; hit 60, power 50, speed 55. Draws walks consistently; on-base 60. Solid third base defense; defense 50. Similar profile to Justin Turner of the LA Dodgers. High value in his plate discipline and contact skills."
P,Hayden Birdsong,"Hayden Birdsong Fastball sits low 90s, can touch mid-90s, decent spin rate. Secondary pitches include a slider with good horizontal movement and an average changeup. Slider is his key strikeout pitch. Command needs some work, particularly with his changeup. Comparable to current major leaguer Adam Ottavino; good swing-and-miss abilities, inconsistent command."
1B,Haydn McGeary,"Haydn McGeary Strong hit tool, consistent soft contact with developing hard contact frequency. Power tool projecting average, flashes of more, drives ball both gaps. Above-average speed, unusual for body type. Exceptional on-base skills, strong batting-eye, maintains low swing-and-miss rates. Defense projects average at maturity, hands need work but decent range. Player comparison: Freddie Freeman."
OF,Homer Bush Jr.,"Homer Bush Jr. High contact hitter, lacks power. Much speed, on-base potential. Defensively average, best suited for corner outfield. Comparable to Billy Hamilton."
P,Hurston Waldrep,"Hurston Waldrep Medium build right-hander, upper 80s fastball reaching 91, improved spin rate (2400+ RPM). Slider is best secondary (2300 RPM), strong bite and deceptive release. Inconsistent changeup but presents promise. Commands fastball well, struggles with consistency on secondaries. Effort in delivery suggests durability concern. Comparable Major League Player: Kyle Hendricks."
P,Isaac Coffey,"Isaac Coffey Solid all-around player. Hits: Above average, good contact rate and line-drive swing. Power: Average, can drive ball into gaps. Speed: Above average, impacts game on base paths. On-base: Strength, has excellent strike zone awareness. Defense: Plus-arm, good fielder, quick reactions. Comparable to DJ LeMahieu. Pitching: Fastball sits in low-90s, tops at 94, good sink. Curveball is plus-with 2500+ rpm spin rate. Changeup: Average, needs refinement. Overall command: Above average, projects to improve. Throws strikes, controls run game well. Comparable to Dallas Keuchel."
P,Isaiah Lowe,"Isaiah Lowe Fastball 89-92 mph, tops at 94 mph, average spin rate. Changeup second offering, deception and fade, keeps hitters off balance. Curveball inconsistent, medium spin rate, needs refinement. Command above average, positional/strategic pitches. Comparable: Mike Soroka."
P,Jackson Wolf,"Jackson Wolf Lefty pitcher with solid fastball velocity, sitting mid-90s (94-96). Spin rates good, particularly on breaking ball which shows high swing-and-miss potential. Fastball vertical break a standout trait. Pitch command needs work, struggles with walk rates but K/9 numbers promising. Comparable MLB player: Matthew Boyd."
SS,Jacob Gonzalez,"Jacob Gonzalez Solid hit tool, evidences good approach at the plate, and maintains high contact rates. Power potential average, should improve with physical maturation. Speed below average, won’t be a base-stealing threat. Excellent on-base skills, works counts and draws plenty of walks. Superb defender, good arm, and smooth actions can stick at shortstop. Comp: Zack Cozart."
OF,Jacob Hurtubise,"Jacob Hurtubise Excellent plate discipline, strong walk rate. Contact skills above average, power limited, unlikely to develop further. Speed elite, disruptive base runner. Superior defense, best utilized in CF. MLB player comp: Billy Hamilton."
SS,Jacob Wilson,"Jacob Wilson Hit: Above average, consistent contact. Power: Moderate, flashes of surprise homers. Speed: Below average, not a base stealing threat. On-base: High, patient plate approach leading to plenty of walks. Defense: Solid, routine plays made efficiently with few errors. Comparable ML player: Dansby Swanson."
P,Jaden Hamm,"Jaden Hamm Lefty with a fast arm, hits mid-90s on fastball, spin rate above average at 2500 RPM, shows command. Secondary includes a high-spin curve and solid changeup, both with command. Control needs refinement. Comparable to Caleb Smith. "
P,Jaime Melendez,"Jaime Melendez Melendez boasts a lively fastball (94-96 mph) with high IVB, good spin rate. Curveball (78-80 mph) with 2400 rpm spin rates; shows excellent vertical break and plus potential. Changeup (85-87 mph) needs work, but offers solid tunneling effect. Command can be inconsistent; needs polish. ERA inflated by fielding errors; true skill reflected better in FIP. Comparable to current major leaguer, Jose Berrios."
2B,Jake Gelof,"Jake Gelof Hit: Batted .312 last season, solid contact skills with a compact swing, can hit to all fields. Power: Average, 14 HRs last season, needs to improve. Speed: Excellent, strong on bases, 20 steals last season. On-Base: Excellent plate discipline, drew walks at 12% rate last season. Defense: Decent at 2B, good lateral movement, arm strength is adequate for double plays. Possible comparison: DJ LeMahieu. Pitch breakdown: Not applicable for 2B position."
2B,Jared Serna,"Jared Serna Hit: Above average, demonstrates consistently good contact. Power: Below average, lacks home run capacity but decent gap power. Speed: Solid, good base-running instincts. On-base: Strong, maintains plate discipline, draws walks consistently. Defense: Above average, quick hands and reacts well to ball trajectory. Comparable MLB Player: Zack Cozart, with less power but more speed."
2B/3B/SS,Jay Harry,"Jay Harry Hit: Above average contact skills, handles zone well. Power: Average, room for growth. Speed: Plus-grade, impact baserunner. On-Base: Excellent patience, high walk rate. Defense: Versatility across infield, average arm, good instincts. Comparable: DJ LeMahieu."
P,Joe Whitman,"Joe Whitman High quality RHP. Features plus 94-96 mph fastball with extreme IVB for rising action. Also carries sharp, high-spin curveball. Splitter shows promise, needs refining. Command overall trending upward. Struggles with consistency, specifically secondaries. Ceiling potentially high if splitter comes along. Comparable to Blake Treinen."
2B/OF,Joey Loperfido,"Joey Loperfido High contact rates (55%) with moderate power profile (45%); utilizes avg speed (50%); on-base ability reinforced with high BB/K rate (65%). Defensively fits best at 2B, versatile in OF too. Comparable to Ben Zobrist."
OF,Johnathan Rodriguez,"Johnathan Rodriguez', ""High-level hit tool, boasting solid contact rate. Moderate power, with current grade at fringe-average, potential for moderate growth. Speed average, plays safely on bases, won't steal much. Excellent on-base skills, patient approach with high walk totals. Defense above average, confident outfielder with good instincts, strong arm. Comparable to current MLB player Michael Conforto, who balances power and on-base percentages."
3B,Johnfrank Salazar,"Johnfrank Salazar High-contact hitter, with good plate discipline, draws walks. Advanced ability to make consistent solid contact, raw power moderate, demonstrating ability to smash line drives rather than home runs. Speed below-average, could diminish further as he matures. Defense reliable, can improve with good fielding coach. Comparable to current MLB player, Justin Turner."
1B/3B,Jonathon Long,"Jonathon Long Long presents solid hitting skills; well balanced at the plate (Hit:55). Above-average raw power, generates good loft in swing (Power:55). Average foot speed; effective on the basepaths (Speed:50). Patient at the plate; good eye and ability to find his pitch (On-Base:60). Solid defense at 1B and 3B: great glove, adequate range (Defense:55). Comparable player: Justin Turner."
OF,Jonny Farmelo,"Jonny Farmelo Hitter: Average hit (50), well-developed power (60), decent speed (55), strong on-base (70), solid defense (60). Comparable player: Michael Conforto. Strong contact ability, disciplined at the plate, producing high OBP. Power real, demonstrating ability to drive the ball with force. Speed, while not elite, is more than suitable for outfield. Defensively capable, showing good instincts with fair range."
2B,Jose Colmenares,"Jose Colmenares Excellent contact hitter, consistent average around the .300 mark. Moderate power (arm strength included), typically 12-15 homers. Agile in the field, strong arm and great defense, can field at anywhere in the diamond. Speed average, steals around 20 bases per year. Superior plate discipline, high on-base average (.380). Comparable player: Jean Segura."
P,Jose Corniell,"Jose Corniell Fastball high 90s, spin rate average, command needs refinement. Curveball and changeup developing, show potential for solid secondaries. Control inconsistent but improving. Holds runners well, highly competitive. Comp: José Berrios."
P,Josh Knoth,"Josh Knoth Strong starting pitcher. Fastball averages 96 mph, peaks at 99 mph with high spin rates, particularly noteworthy IVB. Secondary pitches, namely slider, showcase strong spin rates. Slider especially deadly at 87 mph. Commands all pitches well, especially fastball. An area of improvement is consistency with breaking balls. Comparable arm: Walker Buehler."
P,Josh Stephan,"Josh Stephan Fastball consistently 91-94 mph with high spin rate, creating desirable lift. Curveball demonstrates above-average spin; potential sharp, swing-and-miss weapon. Changeup solid, with good arm action and deception. Command improving but inconsistent. Overall control rates as average, but has shown flashes of better. Develops clean mechanics with repetition. Needs more consistency with secondary offerings. Potential to develop into mid-rotation major league pitcher if command improves. Comparable MLB player: Kyle Hendricks."
P,Juan Carela,"Juan Carela Power arm, fastball averages 96 mph, tops at 98. Secondary selection features mid-80s slider with high spin rate of 2950 rpm, strong deception. Command requires work, struggles with location consistency - could impede progress. Improvement in mechanical refinement will boost command. Comparable player: Edwin Diaz."
